,chordmer,kappa_le,kappa_te,stagger
-0.05,0.030829462888981835,-53.97128292449959,20.000325535081664,-16.985478694708963
0.0,0.030828720375649717,-53.77446285827192,20.000325535081675,-16.887068661595123
0.05,0.03076127624254693,-53.575156397928595,20.00032553508168,-16.787415431423458
0.1,0.030661879067542985,-52.96140716646547,19.999871116452994,-16.48076802500624
0.2,0.030498458879200278,-51.47906666233107,20.000038207869153,-15.73951422723096
0.3,0.030378223470981278,-50.221969589283766,19.999989642814988,-15.110989973234389
0.4,0.030264012946517947,-49.42186075173602,20.000002908714425,-14.710928921510797
0.5,0.030185777823657084,-49.00856456524177,19.999999136040643,-14.504282714600564
0.6,0.030115117754536583,-49.00851064463292,20.000000258439197,-14.504255193096862
0.7,0.030061296922948594,-49.431245755741564,19.999999923576244,-14.71562291608266
0.8,0.030029111366289395,-50.352019793673726,20.000000022003167,-15.17600988583528
0.9,0.030008089886103678,-51.70306328627946,19.999999990919324,-15.851531647680067
0.95,0.03000223498232005,-52.38259351575866,19.999999974067695,-16.191296770845483
1.0,0.03,-52.384315011558975,19.999999974067695,-16.19215751874564
1.05,0.03000177196208661,-52.396539173777285,19.999999974067702,-16.19826959985479
