
[Name]
IGV Blade

[Data]
X [ m ], Y [ m ], Z [ m ]
2.14941185e-02, 2.55405128e-01, 3.90558474e-04
2.15190090e-02, 2.55217969e-01, 3.91563342e-04
2.11446285e-02, 2.54850715e-01, 4.25829960e-04
2.11193748e-02, 2.55041301e-01, 4.24760627e-04
2.06874069e-02, 2.54395455e-01, 4.67015110e-04
2.06620116e-02, 2.54590303e-01, 4.65837657e-04
2.14640219e-02, 2.55631447e-01, 3.89374123e-04
2.10888386e-02, 2.55271792e-01, 4.23490565e-04
2.06313003e-02, 2.54825950e-01, 4.64427489e-04
2.14276277e-02, 2.55905151e-01, 3.88006127e-04
2.10519135e-02, 2.55550563e-01, 4.22018231e-04
2.05941647e-02, 2.55110919e-01, 4.62783064e-04
2.13836245e-02, 2.56236136e-01, 3.86445026e-04
2.10072659e-02, 2.55887657e-01, 4.20330034e-04
2.05492619e-02, 2.55455554e-01, 4.60884999e-04
2.13304181e-02, 2.56636441e-01, 3.84692132e-04
2.09532809e-02, 2.56295353e-01, 4.18422220e-04
2.04949677e-02, 2.55872339e-01, 4.58720693e-04
2.12660879e-02, 2.57120550e-01, 3.82766972e-04
2.08880082e-02, 2.56788403e-01, 4.16307797e-04
2.04293225e-02, 2.56376386e-01, 4.56292182e-04
2.11954787e-02, 2.57706851e-01, 3.80154524e-04
2.08168589e-02, 2.57385612e-01, 4.13427595e-04
2.03584507e-02, 2.56986946e-01, 4.52987413e-04
2.11199783e-02, 2.58417100e-01, 3.76821175e-04
2.07398590e-02, 2.58108944e-01, 4.09866421e-04
2.02807505e-02, 2.57726282e-01, 4.49024461e-04
2.10287776e-02, 2.59276032e-01, 3.74157127e-04
2.06468478e-02, 2.58983761e-01, 4.06999199e-04
2.01869030e-02, 2.58620411e-01, 4.45805112e-04
2.09324360e-02, 2.60316104e-01, 3.70643160e-04
2.05487907e-02, 2.60043114e-01, 4.03208483e-04
2.00884044e-02, 2.59703189e-01, 4.41559823e-04
2.08345447e-02, 2.61469930e-01, 3.67513276e-04
2.04486419e-02, 2.61206388e-01, 4.00080113e-04
1.99873149e-02, 2.60877937e-01, 4.38305811e-04
2.07413267e-02, 2.62836099e-01, 3.65802087e-04
2.03546491e-02, 2.62592047e-01, 3.98497446e-04
1.98944993e-02, 2.62287170e-01, 4.36705042e-04
2.06413101e-02, 2.64489114e-01, 3.64254112e-04
2.02525537e-02, 2.64268607e-01, 3.97195050e-04
1.97924282e-02, 2.63992071e-01, 4.35464259e-04
2.05462612e-02, 2.66466588e-01, 3.62313003e-04
2.01547630e-02, 2.66264886e-01, 3.95622104e-04
1.96943209e-02, 2.66010910e-01, 4.34020010e-04
2.04643682e-02, 2.68787563e-01, 3.61839338e-04
2.00692397e-02, 2.68604308e-01, 3.96071089e-04
1.96079090e-02, 2.68372536e-01, 4.35169321e-04
2.03994792e-02, 2.71591216e-01, 3.63640604e-04
